name,field_source_logo
BBC,https://minesnewsroom.com/sites/default/files/2019-09/bbc.gif
CNN,https://minesnewsroom.com/sites/default/files/2019-10/cnn-logo-color.png
Bloomberg,https://minesnewsroom.com/sites/default/files/2019-09/bloomberg.png
NBC News,https://minesnewsroom.com/sites/default/files/2019-09/nbc.png
The Washington Post,https://minesnewsroom.com/sites/default/files/2019-09/wash_post.png
Wall Street Journal,https://minesnewsroom.com/sites/default/files/2019-09/wsj.png
The New York Times,https://minesnewsroom.com/sites/default/files/2019-09/nyt.png
CNBC,https://minesnewsroom.com/sites/default/files/2019-09/cnbc.png
Huffington Post,https://minesnewsroom.com/sites/default/files/2019-09/huffpost.png
USA Today,https://minesnewsroom.com/sites/default/files/2019-09/usa_today.png
Forbes,https://minesnewsroom.com/sites/default/files/2019-09/forbes.png
The Guardian,https://minesnewsroom.com/sites/default/files/2019-09/guardian.png
Physics Today,https://minesnewsroom.com/sites/default/files/2019-10/physics_today.png
Digital Trends,https://minesnewsroom.com/sites/default/files/2019-10/digital_trends.jpg
Denver7,https://minesnewsroom.com/sites/default/files/2019-10/denver7_logo.png
9News,https://minesnewsroom.com/sites/default/files/2019-10/9news-logo.png
The Denver Post,https://minesnewsroom.com/sites/default/files/2019-10/The-Denver-Post-Desktop-Logo.png
Philadelphia Inquirer,https://minesnewsroom.com/sites/default/files/2019-10/philly_inquirer_logo.png
CBS4 Denver,https://minesnewsroom.com/sites/default/files/2019-10/cbs4-logo.png
Los Angeles Times,https://minesnewsroom.com/sites/default/files/2019-10/los_angeles_times.png
Colorado Public Radio,https://minesnewsroom.com/sites/default/files/2019-10/cpr_news_logo.png
Golden Transcript,https://minesnewsroom.com/sites/default/files/2019-10/golden-transcript-ccm_1_0.png
BuzzFeed News,https://minesnewsroom.com/sites/default/files/2019-10/1280px-buzzfeed_news_logo_2018.svg_.png
Arizona Republic,https://minesnewsroom.com/sites/default/files/2019-10/1280px-the-arizona-republic-logo.png
Associated Press,https://minesnewsroom.com/sites/default/files/2019-10/1200px-associated_press_logo_2012.png
Fox31 Denver,https://minesnewsroom.com/sites/default/files/2019-10/fox31.jpg
CNET,https://minesnewsroom.com/sites/default/files/2019-10/cnet_logo.png
KUNC,https://minesnewsroom.com/sites/default/files/2019-10/kunc_logo.png
Colorado Springs Gazette,https://minesnewsroom.com/sites/default/files/2019-10/colorado-springs-gazette_1.jpg
Bloomberg,https://minesnewsroom.com/sites/default/files/2019-10/bloomberg_logo.png
Colorado Sun,https://minesnewsroom.com/sites/default/files/2019-10/colorado-sun-stacked-logo.png
Denver Business Journal,https://minesnewsroom.com/sites/default/files/2019-10/denver_business_journal.png
The Post and Courier (South Carolina),https://minesnewsroom.com/sites/default/files/2019-10/post-and-courier-logo.png
